 Netflix Genre;DVD or Instant;URL
Action Thrillers starring Sylvester Stallone;Instant Watch;https://www.netflix.com/browse/genre/43309
Action Thrillers starring Tommy Lee Jones;Instant Watch;https://www.netflix.com/browse/genre/88758
Action-Adventure;https://dvd.netflix.com/Genre/Action-Adventure/296;
Action-Classics;https://dvd.netflix.com/Genre/Action-Adventure/296/Action-Classics/615;
Action-Comedies;DVD;https://dvd.netflix.com/Genre/Action-Adventure/296/Action-Comedies/616
Action-Thrillers;DVD;https://dvd.netflix.com/Genre/Action-Adventure/296/Action-Thrillers/618
Adult Animation;Instant Watch;https://www.netflix.com/browse/genre/11881
Adult Swim;DVD;https://dvd.netflix.com/Genre/TV-Networks/2619/Adult-Swim/2711
Adventures;DVD;https://dvd.netflix.com/Genre/Action-Adventure/296/Adventures/1330
Adventures;DVD;https://dvd.netflix.com/Genre?sgid=1330
Adventures;Instant Watch;https://www.netflix.com/browse/genre/67596
Adventures;Instant Watch;https://www.netflix.com/browse/genre/7442
Adventures based on Books;Instant Watch;https://www.netflix.com/browse/genre/6382
Adventures based on classic literature;Instant Watch;https://www.netflix.com/browse/genre/13083
Adventures based on contemporary literature;Instant Watch;https://www.netflix.com/browse/genre/13215
Adventures based on real life;Instant Watch;https://www.netflix.com/browse/genre/8176
Adventures directed by Peter Jackson;Instant Watch;https://www.netflix.com/browse/genre/82971
Adventures Featuring a Strong Female Lead;Instant Watch;https://www.netflix.com/browse/genre/42275
Adventures for ages 11 to 12;Instant Watch;https://www.netflix.com/browse/genre/7872
Adventures for ages 8 to 10;Instant Watch;https://www.netflix.com/browse/genre/7716
Adventures for Hopeless Romantics;Instant Watch;https://www.netflix.com/browse/genre/81656
Adventures from the 1950s;Instant Watch;https://www.netflix.com/browse/genre/10923
Adventures from the 1960s;Instant Watch;https://www.netflix.com/browse/genre/10942
Adventures from the 1980s;Instant Watch;https://www.netflix.com/browse/genre/10996
Adventures set in Ancient Times;Instant Watch;https://www.netflix.com/browse/genre/70481
Adventures set in the Middle Ages;Instant Watch;https://www.netflix.com/browse/genre/71092
Africa;DVD;https://dvd.netflix.com/Genre/Foreign-Regions/2621/Africa/2218
African Action & Adventure;Instant Watch;https://www.netflix.com/browse/genre/62909
African Action Thrillers;Instant Watch;https://www.netflix.com/browse/genre/92914
African American Comedies;DVD;https://dvd.netflix.com/Genre/Comedy/307/African-American-Comedies/2372
African American Documentaries;DVD;https://dvd.netflix.com/Genre/Documentary/864/African-American-Documentaries/2373
African American Dramas;DVD;https://dvd.netflix.com/Genre/Drama/315/African-American-Dramas/2374
African Arabic-Language Movies;Instant Watch;https://www.netflix.com/browse/genre/64194
African Comedies;Instant Watch;https://www.netflix.com/browse/genre/34202
African Documentaries;Instant Watch;https://www.netflix.com/browse/genre/26620
African Dramas;Instant Watch;https://www.netflix.com/browse/genre/10718
African Dramas Featuring a Strong Female Lead;Instant Watch;https://www.netflix.com/browse/genre/71770
African Movies;Instant Watch;https://www.netflix.com/browse/genre/3761
African Movies Featuring a Strong Female Lead;Instant Watch;https://www.netflix.com/browse/genre/64720
African Music;DVD;https://dvd.netflix.com/Genre?sgid=2355
African Music;Instant Watch;https://www.netflix.com/browse/genre/6031
African Political Documentaries;Instant Watch;https://www.netflix.com/browse/genre/74889
African Political Movies;Instant Watch;https://www.netflix.com/browse/genre/37523
African Social & Cultural Documentaries;Instant Watch;https://www.netflix.com/browse/genre/36718
African Social Issue Dramas;Instant Watch;https://www.netflix.com/browse/genre/60358
African Thrillers;Instant Watch;https://www.netflix.com/browse/genre/60236
African-American;Instant Watch;https://www.netflix.com/browse/genre/100009
African-American 20th Century Period Pieces;Instant Watch;https://www.netflix.com/browse/genre/12191
African-American Action;DVD;https://dvd.netflix.com/Genre?sgid=2256
African-American Action & Adventure;Instant Watch;https://www.netflix.com/browse/genre/9989
African-American Action & Adventure from the 1970s;Instant Watch;https://www.netflix.com/browse/genre/2571
